data,index_price,equity,margin_required,bid,ask
12/31/2018 00:28:49.954,0,5000,5000.00,1.14467,1.14471
12/31/2018 01:16:13.952,1,5000.31,4999.01,1.1443,1.14432
12/31/2018 01:35:15.988,2,5000.29,4997.69,1.14397,1.14397
12/31/2018 02:16:24.115,3,4999.63,4997.03,1.14364,1.14366
12/31/2018 03:44:30.811,4,5000.64,4996.74,1.14399,1.14401
12/31/2018 04:03:01.962,5,4999.90,4994.70,1.14364,1.14366
12/31/2018 04:09:18.012,6,4998.46,4994.56,1.14329,1.14331
12/31/2018 04:39:56.131,7,4998.05,4994.15,1.14294,1.14296
12/31/2018 04:51:01.199,8,4997.60,4995.00,1.14258,1.14261
12/31/2018 05:00:16.989,9,4998.62,4996.02,1.14222,1.14224
12/31/2018 05:05:34.108,10,5000.72,4996.82,1.14257,1.14259
12/31/2018 05:53:25.874,11,5001.38,4996.18,1.14292,1.14294
12/31/2018 06:37:20.267,12,5000,5000.00,1.14257,1.14259
12/31/2018 06:40:48.642,13,4999.61,4998.31,1.14293,1.14294
12/31/2018 06:52:45.686,14,5000.25,4997.65,1.1426,1.14261
12/31/2018 07:19:29.785,15,4999.94,4996.04,1.14293,1.14292
12/31/2018 07:23:28.129,16,4998.95,4995.05,1.14324,1.14325
12/31/2018 07:32:35.696,17,4997.57,4993.67,1.14358,1.14359
12/31/2018 07:33:39.312,18,4999.89,4994.69,1.14325,1.14326
12/31/2018 07:39:29.682,19,4998.88,4992.38,1.14358,1.14359
12/31/2018 07:51:50.960,20,5000.56,4994.06,1.14323,1.14325
12/31/2018 07:55:05.237,21,4999.17,4991.37,1.14358,1.14359
12/31/2018 07:56:19.346,22,4997.23,4989.43,1.14391,1.14391
12/31/2018 07:58:45.436,23,4994.92,4989.72,1.14422,1.14424
12/31/2018 08:00:38.197,24,5000.25,4993.75,1.1439,1.14389
12/31/2018 08:01:09.415,25,4998.81,4991.01,1.14421,1.14424
12/31/2018 08:02:07.672,26,4996.77,4988.97,1.14458,1.14457
12/31/2018 08:03:30.334,27,4998.94,4989.84,1.14423,1.14426
12/31/2018 08:13:50.196,28,4996.73,4990.23,1.1446,1.14462
12/31/2018 08:16:14.529,29,5001.56,4995.06,1.14424,1.14427
12/31/2018 08:21:52.631,30,5000,5000.00,1.14389,1.1439
12/31/2018 08:33:59.253,31,5000.31,4999.01,1.14358,1.14357
12/31/2018 08:40:14.607,32,5000.28,4997.68,1.14324,1.14326
12/31/2018 08:45:47.182,33,5000.94,4998.34,1.14359,1.1436
12/31/2018 08:57:44.051,34,5000.57,4996.67,1.14325,1.14327
12/31/2018 09:05:36.881,35,5001.58,4997.68,1.1436,1.14362
