data,index_price,open_buy_cl_tp,open_buy_cl_sl,open_sell_cl_tp,open_sell_cl_sl
12/31/2018 04:09:18.012,6,None,1,None,None
12/31/2018 04:39:56.131,7,None,2,None,None
12/31/2018 04:51:01.199,8,None,3,None,None
12/31/2018 04:51:01.199,8,None,5,None,None
12/31/2018 05:00:16.989,9,None,6,None,None
12/31/2018 07:32:35.696,17,None,None,None,12
12/31/2018 07:58:45.436,23,None,None,None,13
12/31/2018 07:58:45.436,23,None,None,None,15
12/31/2018 07:58:45.436,23,None,None,None,16
12/31/2018 08:13:50.196,28,None,None,None,17
12/31/2018 08:13:50.196,28,None,None,None,19
12/31/2018 08:13:50.196,28,None,None,None,21
12/31/2018 11:25:08.467,55,None,None,None,45
12/31/2018 11:25:08.467,55,None,None,None,46
12/31/2018 11:26:06.067,56,None,None,None,47
12/31/2018 11:28:32.396,57,None,None,None,49
12/31/2018 11:28:32.396,57,None,None,None,51
12/31/2018 11:34:54.097,58,None,None,None,52
12/31/2018 11:34:54.097,58,None,None,None,54
12/31/2018 12:04:42.327,65,None,62,None,None
01/07/2019 01:44:42.698,103,None,None,None,102
01/07/2019 04:05:46.378,110,None,None,None,103
01/07/2019 07:52:19.576,129,None,None,None,124
01/07/2019 07:52:19.576,129,None,None,None,126
01/07/2019 07:53:00.545,130,None,None,None,127
01/07/2019 07:53:35.862,131,None,None,None,128
01/07/2019 07:58:48.414,132,None,None,None,129
01/07/2019 08:00:19.145,133,None,None,None,130
01/07/2019 09:08:19.276,145,None,None,None,142
01/07/2019 09:11:46.464,146,None,None,None,143
01/07/2019 09:28:29.437,149,None,None,None,144
01/07/2019 13:39:37.834,179,None,None,None,176
01/07/2019 13:57:52.814,180,None,None,None,177
01/07/2019 14:03:31.932,181,None,None,None,178
01/07/2019 14:09:17.275,182,None,None,None,179
01/07/2019 14:41:02.871,186,None,None,None,180
01/07/2019 14:53:43.877,187,None,None,None,181
01/14/2019 05:47:44.222,220,None,None,None,215
01/14/2019 05:47:44.222,220,None,None,None,217
01/14/2019 07:15:52.835,233,None,230,None,None
01/14/2019 07:18:22.813,234,None,231,None,None
01/14/2019 07:18:31.054,235,None,232,None,None
